date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:02	170/170	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Jan%202025%2010:03:01%20GMT	https://harmony-ai.app/robots.txt		(from )
11:03:02	133461/133461	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2010:03:02%20GMT	https://harmony-ai.app/	C:/My%20Web%20Sites/harmony/harmony-ai.app/index.html	(from )
11:03:02	2230/2230	---M--	200	added ('OK')	image/svg+xml	etag:%2266e6f775-8b6%22	https://harmony-ai.app/assets/img/main/favicon.svg	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/img/main/favicon.svg	(from https://harmony-ai.app/)
11:03:03	18212/18212	---M--	200	added ('OK')	text/css	etag:%2266e6f772-4724%22	https://harmony-ai.app/assets/css/plugins/slider.css	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/css/plugins/slider.css	(from https://harmony-ai.app/)
11:03:03	411/411	---M--	200	added ('OK')	text/css	etag:%2266e6f771-19b%22	https://harmony-ai.app/assets/css/main.css	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/css/main.css	(from https://harmony-ai.app/)
11:03:03	2706/2706	---M--	200	added ('OK')	text/css	etag:%2266e6f771-a92%22	https://harmony-ai.app/assets/css/slider-home.css	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/css/slider-home.css	(from https://harmony-ai.app/)
11:03:04	143046/143046	---M-Z	200	added ('OK')	application/javascript	etag:W/%2222ec6-XzsUsOzWFyz4l8ZPrexzRg1u7sI%22	https://cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.js	C:/My%20Web%20Sites/harmony/cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.js	(from https://harmony-ai.app/)
11:03:05	26053/26053	---M--	200	added ('OK')	text/css	etag:%2266e6f772-65c5%22	https://harmony-ai.app/assets/plugins/aos.css	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/plugins/aos.css	(from https://harmony-ai.app/)
11:03:05	288580/288580	---M--	200	added ('OK')	application/javascript	etag:%2266e6f772-46744%22	https://harmony-ai.app/assets/plugins/jquery-3.6.0.js	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/plugins/jquery-3.6.0.js	(from https://harmony-ai.app/)
11:03:07	14243/14243	---M--	200	added ('OK')	application/javascript	etag:%2266e6f772-37a3%22	https://harmony-ai.app/assets/plugins/aos.js	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/plugins/aos.js	(from https://harmony-ai.app/)
11:03:07	234/234	---M--	200	added ('OK')	application/javascript	etag:%2266e6f771-ea%22	https://harmony-ai.app/assets/js/header.js	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/js/header.js	(from https://harmony-ai.app/)
11:03:07	87/87	---M--	200	added ('OK')	application/javascript	etag:%2266e6f771-57%22	https://harmony-ai.app/assets/js/aos-init.js	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/js/aos-init.js	(from https://harmony-ai.app/)
11:03:07	281203/281203	---M-Z	200	added ('OK')	application/javascript	etag:W/%2244a73-yvulxolP2iDjIft1QlwvDrs+JAc%22	https://cdn.jsdelivr.net/npm/fullcalendar@6.1.8/index.global.min.js	C:/My%20Web%20Sites/harmony/cdn.jsdelivr.net/npm/fullcalendar@6.1.8/index.global.min.js	(from https://harmony-ai.app/)
11:03:08	62868/62868	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2010:03:07%20GMT	https://harmony-ai.app/ai	C:/My%20Web%20Sites/harmony/harmony-ai.app/ai.html	(from https://harmony-ai.app/)
11:03:08	480/480	---M--	200	added ('OK')	image/svg+xml	etag:%2266e6f775-1e0%22	https://harmony-ai.app/assets/img/main/arrow-header.svg	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/img/main/arrow-header.svg	(from https://harmony-ai.app/)
11:03:08	6322/6322	---M--	200	added ('OK')	image/svg+xml	etag:%2266e6f775-18b2%22	https://harmony-ai.app/assets/img/main/logo-header.svg	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/img/main/logo-header.svg	(from https://harmony-ai.app/)
11:03:09	205610/205610	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2010:03:08%20GMT	https://harmony-ai.app/security	C:/My%20Web%20Sites/harmony/harmony-ai.app/security.html	(from https://harmony-ai.app/)
11:03:09	57229/57229	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2010:03:09%20GMT	https://harmony-ai.app/pricing	C:/My%20Web%20Sites/harmony/harmony-ai.app/pricing.html	(from https://harmony-ai.app/)
11:03:09	14132/14132	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2010:03:09%20GMT	https://harmony-ai.app/contact	C:/My%20Web%20Sites/harmony/harmony-ai.app/contact.html	(from https://harmony-ai.app/)
11:03:10	63383/63383	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2010:03:09%20GMT	https://harmony-ai.app/download	C:/My%20Web%20Sites/harmony/harmony-ai.app/download.html	(from https://harmony-ai.app/)
11:03:10	21546/21546	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2010:03:10%20GMT	https://harmony-ai.app/blog	C:/My%20Web%20Sites/harmony/harmony-ai.app/blog.html	(from https://harmony-ai.app/)
11:03:10	104045/104045	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202025%2010:03:10%20GMT	https://harmony-ai.app/customers	C:/My%20Web%20Sites/harmony/harmony-ai.app/customers.html	(from https://harmony-ai.app/)
11:03:11	92791/92791	---M--	200	added ('OK')	video/mp4	etag:%2266e6f776-16a77%22	https://harmony-ai.app/assets/videos//home/main.mp4	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/videos/home/main.mp4	(from https://harmony-ai.app/)
11:03:11	60158/60158	---M--	200	added ('OK')	image/webp	etag:%2266e6f775-eafe%22	https://harmony-ai.app/assets/img/home/video-system.webp	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/img/home/video-system.webp	(from https://harmony-ai.app/)
11:03:11	29546/29546	---M--	200	added ('OK')	image/webp	etag:%2266e6f774-736a%22	https://harmony-ai.app/assets/img/home/ai.webp	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/img/home/ai.webp	(from https://harmony-ai.app/)
11:03:11	586/586	---M--	200	added ('OK')	image/svg+xml	etag:%2266e6f774-24a%22	https://harmony-ai.app/assets/img/home/line1.svg	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/img/home/line1.svg	(from https://harmony-ai.app/)
11:03:11	180/180	---M--	200	added ('OK')	image/svg+xml	etag:%2266e6f774-b4%22	https://harmony-ai.app/assets/img/home/blue-dot.svg	C:/My%20Web%20Sites/harmony/harmony-ai.app/assets/img/home/blue-dot.svg	(from https://harmony-ai.app/)
